category,ref_internal,ref_supplier,ref_label,color,view,ext,src,dst
BEBE,B-001,K831,B-001_K831,pale_pink,back,webp,BÉBÉ/K831 - B-001/PS_K831-B_PALEPINK.png,BEBE/B-001_K831/pale_pink/B-001_K831_back.webp
BEBE,B-001,K831,B-001_K831,white,front,webp,BÉBÉ/K831 - B-001/PS_K831_WHITE.png,BEBE/B-001_K831/white/B-001_K831_front.webp
BEBE,B-001,K831,B-001_K831,navy,front,webp,BÉBÉ/K831 - B-001/PS_K831_NAVY.png,BEBE/B-001_K831/navy/B-001_K831_front.webp
BEBE,B-001,K831,B-001_K831,red,back,webp,BÉBÉ/K831 - B-001/PS_K831-B_RED.png,BEBE/B-001_K831/red/B-001_K831_back.webp
BEBE,B-001,K831,B-001_K831,navy,back,webp,BÉBÉ/K831 - B-001/PS_K831-B_NAVY.png,BEBE/B-001_K831/navy/B-001_K831_back.webp
BEBE,B-001,K831,B-001_K831,white,back,webp,BÉBÉ/K831 - B-001/PS_K831-B_WHITE.png,BEBE/B-001_K831/white/B-001_K831_back.webp
BEBE,B-001,K831,B-001_K831,oxford_grey,front,webp,BÉBÉ/K831 - B-001/PS_K831_OXFORDGREY.png,BEBE/B-001_K831/oxford_grey/B-001_K831_front.webp
BEBE,B-001,K831,B-001_K831,fuchsia,front,webp,BÉBÉ/K831 - B-001/PS_K831_FUCHSIA.png,BEBE/B-001_K831/fuchsia/B-001_K831_front.webp
BEBE,B-001,K831,B-001_K831,fuchsia,back,webp,BÉBÉ/K831 - B-001/PS_K831-B_FUCHSIA.png,BEBE/B-001_K831/fuchsia/B-001_K831_back.webp
BEBE,B-001,K831,B-001_K831,pale_pink,front,webp,BÉBÉ/K831 - B-001/PS_K831_PALEPINK.png,BEBE/B-001_K831/pale_pink/B-001_K831_front.webp
BEBE,B-001,K831,B-001_K831,black,front,webp,BÉBÉ/K831 - B-001/PS_K831_BLACK.png,BEBE/B-001_K831/black/B-001_K831_front.webp
BEBE,B-001,K831,B-001_K831,red,front,webp,BÉBÉ/K831 - B-001/PS_K831_RED.png,BEBE/B-001_K831/red/B-001_K831_front.webp
BEBE,B-001,K831,B-001_K831,black,back,webp,BÉBÉ/K831 - B-001/PS_K831-B_BLACK.png,BEBE/B-001_K831/black/B-001_K831_back.webp
BEBE,B-001,K831,B-001_K831,sky_blue,back,webp,BÉBÉ/K831 - B-001/PS_K831-B_SKYBLUE.png,BEBE/B-001_K831/sky_blue/B-001_K831_back.webp
BEBE,B-001,K831,B-001_K831,sky_blue,front,webp,BÉBÉ/K831 - B-001/PS_K831_SKYBLUE.png,BEBE/B-001_K831/sky_blue/B-001_K831_front.webp
BEBE,B-002,K837,B-002_K837,white,front,webp,BÉBÉ/K837 - B-002/PS_K837_WHITE.png,BEBE/B-002_K837/white/B-002_K837_front.webp
BEBE,B-002,K837,B-002_K837,oxford_grey,back,webp,BÉBÉ/K837 - B-002/PS_K837-B_OXFORDGREY.png,BEBE/B-002_K837/oxford_grey/B-002_K837_back.webp
BEBE,B-002,K837,B-002_K837,white,back,webp,BÉBÉ/K837 - B-002/PS_K837-B_WHITE.png,BEBE/B-002_K837/white/B-002_K837_back.webp
BEBE,B-002,K837,B-002_K837,light_sand,front,webp,BÉBÉ/K837 - B-002/PS_K837_LIGHTSAND.png,BEBE/B-002_K837/light_sand/B-002_K837_front.webp
BEBE,B-002,K837,B-002_K837,sage,back,webp,BÉBÉ/K837 - B-002/PS_K837-B_SAGE.png,BEBE/B-002_K837/sage/B-002_K837_back.webp
BEBE,B-002,K837,B-002_K837,terracotta_red,front,webp,BÉBÉ/K837 - B-002/PS_K837_TERRACOTTARED.png,BEBE/B-002_K837/terracotta_red/B-002_K837_front.webp
BEBE,B-002,K837,B-002_K837,navy,front,webp,BÉBÉ/K837 - B-002/PS_K837_NAVY.png,BEBE/B-002_K837/navy/B-002_K837_front.webp
BEBE,B-002,K837,B-002_K837,terracotta_red,back,webp,BÉBÉ/K837 - B-002/PS_K837-B_TERRACOTTARED.png,BEBE/B-002_K837/terracotta_red/B-002_K837_back.webp
BEBE,B-002,K837,B-002_K837,light_sand,back,webp,BÉBÉ/K837 - B-002/PS_K837-B_LIGHTSAND.png,BEBE/B-002_K837/light_sand/B-002_K837_back.webp
BEBE,B-002,K837,B-002_K837,black,front,webp,BÉBÉ/K837 - B-002/PS_K837_BLACK.png,BEBE/B-002_K837/black/B-002_K837_front.webp
BEBE,B-002,K837,B-002_K837,navy,back,webp,BÉBÉ/K837 - B-002/PS_K837-B_NAVY.png,BEBE/B-002_K837/navy/B-002_K837_back.webp
BEBE,B-002,K837,B-002_K837,black,back,webp,BÉBÉ/K837 - B-002/PS_K837-B_BLACK.png,BEBE/B-002_K837/black/B-002_K837_back.webp
BEBE,B-002,K837,B-002_K837,oxford_grey,front,webp,BÉBÉ/K837 - B-002/PS_K837_OXFORDGREY.png,BEBE/B-002_K837/oxford_grey/B-002_K837_front.webp
BEBE,B-002,K837,B-002_K837,sage,front,webp,BÉBÉ/K837 - B-002/PS_K837_SAGE.png,BEBE/B-002_K837/sage/B-002_K837_front.webp
ENFANT,E-003,K3027IC,E-003_K3027IC,kelly_green,sleeve,webp,ENFANT/K3027IC - E-003/PS_K3027IC-S_KELLYGREEN.png,ENFANT/E-003_K3027IC/kelly_green/E-003_K3027IC_sleeve.webp
ENFANT,E-003,K3027IC,E-003_K3027IC,yellow,front,webp,ENFANT/K3027IC - E-003/PS_K3027IC_YELLOW.png,ENFANT/E-003_K3027IC/yellow/E-003_K3027IC_front.webp
